model,preprocessing,label_scheme,subject_held_out,n_val,accuracy,balanced_accuracy,macro_f1,f1_NoPain,f1_PainArm,f1_PainHand,f1_Pain
logreg,subjectz,3class,55,36,0.4444444444444444,0.4444444444444445,0.4370629370629371,0.5384615384615384,0.2727272727272727,0.5,
logreg,subjectz,3class,56,36,0.3888888888888889,0.3888888888888889,0.3922314936807691,0.5454545454545454,0.2608695652173913,0.37037037037037035,
logreg,subjectz,3class,57,36,0.6111111111111112,0.6111111111111112,0.6157575757575758,0.7272727272727273,0.56,0.56,
logreg,subjectz,3class,58,36,0.6388888888888888,0.638888888888889,0.636231884057971,0.8,0.5,0.6086956521739131,
logreg,subjectz,3class,59,36,0.75,0.75,0.7466977466977468,0.8461538461538461,0.6666666666666666,0.7272727272727273,
logreg,subjectz,3class,60,36,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5,0.5833333333333334,
logreg,subjectz,3class,63,36,0.5555555555555556,0.5555555555555556,0.5528360528360529,0.8333333333333334,0.36363636363636365,0.46153846153846156,
rf,subjectz,3class,1,36,0.6666666666666666,0.6666666666666666,0.6496296296296297,0.8888888888888888,0.56,0.5,
rf,subjectz,3class,2,36,0.6388888888888888,0.638888888888889,0.6164104095138577,0.8275862068965517,0.47619047619047616,0.5454545454545454,
rf,subjectz,3class,4,36,0.6666666666666666,0.6666666666666666,0.6785347985347986,0.8571428571428571,0.5384615384615384,0.64,
rf,subjectz,3class,5,36,0.8055555555555556,0.8055555555555555,0.8065192992729225,0.9090909090909091,0.6956521739130435,0.8148148148148148,
rf,subjectz,3class,6,36,0.5833333333333334,0.5833333333333334,0.5699300699300699,0.8461538461538461,0.36363636363636365,0.5,
rf,subjectz,3class,8,36,0.6388888888888888,0.6388888888888888,0.6315506715506715,0.88,0.47619047619047616,0.5384615384615384,
rf,subjectz,3class,11,36,0.4722222222222222,0.47222222222222227,0.4593406593406593,0.6923076923076923,0.4,0.2857142857142857,
rf,subjectz,3class,12,36,0.5277777777777778,0.5277777777777778,0.5165112665112664,0.7692307692307693,0.4166666666666667,0.36363636363636365,
rf,subjectz,3class,13,36,0.5833333333333334,0.5833333333333334,0.5637534767969551,0.8888888888888888,0.34782608695652173,0.45454545454545453,
rf,subjectz,3class,15,36,0.3888888888888889,0.3888888888888889,0.39878787878787875,0.6363636363636364,0.24,0.32,
rf,subjectz,3class,16,36,0.6111111111111112,0.611111111111111,0.6007814407814408,0.8461538461538461,0.48,0.47619047619047616,
rf,subjectz,3class,18,36,0.5277777777777778,0.5277777777777778,0.5098215624531414,0.7692307692307693,0.3157894736842105,0.4444444444444444,
rf,subjectz,3class,21,36,0.4166666666666667,0.4166666666666667,0.41558441558441556,0.6363636363636364,0.18181818181818182,0.42857142857142855,
rf,subjectz,3class,22,36,0.4722222222222222,0.47222222222222215,0.4572118702553485,0.6428571428571429,0.38095238095238093,0.34782608695652173,
rf,subjectz,3class,24,36,0.5555555555555556,0.5555555555555555,0.523620645817442,0.7333333333333333,0.5217391304347826,0.3157894736842105,
rf,subjectz,3class,25,36,0.5277777777777778,0.5277777777777778,0.5306577480490524,0.5217391304347826,0.46153846153846156,0.6086956521739131,
rf,subjectz,3class,27,36,0.4722222222222222,0.47222222222222215,0.47260869565217395,0.75,0.32,0.34782608695652173,
rf,subjectz,3class,28,36,0.5555555555555556,0.5555555555555556,0.5469289164941339,0.6428571428571429,0.5217391304347826,0.47619047619047616,
rf,subjectz,3class,29,36,0.6388888888888888,0.638888888888889,0.6315151515151515,0.96,0.48,0.45454545454545453,
rf,subjectz,3class,30,36,0.5,0.5,0.5040792540792541,0.75,0.3076923076923077,0.45454545454545453,
rf,subjectz,3class,34,36,0.7222222222222222,0.7222222222222222,0.7296969696969696,0.9090909090909091,0.64,0.64,
